"((22.783378079401153, 23.85168180488554, -1.0683037254843875), [[1.52646, 1.0045], [1.4848, 1.00388], [1.59875, 1.00992], [1.48535, 1.00466], [1.66578, 1.00854]])"
"((24.1918168504689, 25.848473711912725, -1.6566568614438246), [[1.54965, 1.00561], [1.48535, 1.00466], [1.59875, 1.00992], [1.54457, 1.00776], [1.66578, 1.00854]])"
"((31.19939160790868, 34.768793351414956, -3.569401743506276), [[1.61503, 1.00604], [1.48535, 1.00466], [1.61503, 1.01056], [1.60157, 1.00865], [1.58399, 1.00622]])"
"((31.230637804249074, 34.76604653084195, -3.5354087265928733), [[1.61503, 1.00604], [1.48535, 1.00466], [1.61506, 1.01054], [1.60157, 1.00865], [1.58399, 1.00622]])"
"((31.390628791106135, 35.0290303299541, -3.638401538847962), [[1.61503, 1.00604], [1.51432, 1.00532], [1.61503, 1.01056], [1.60714, 1.00656], [1.61727, 1.00636]])"
"((28.239376911725042, 30.816943304256085, -2.5775663925310432), [[1.61503, 1.00604], [1.51432, 1.00532], [1.59875, 1.00992], [1.57723, 1.00902], [1.58399, 1.00622]])"
"((28.875075103049596, 31.59624948427703, -2.721174381227435), [[1.61503, 1.00604], [1.51432, 1.00532], [1.59875, 1.00992], [1.57723, 1.00902], [1.58299, 1.00622]])"
"((26.891976096682626, 29.123716687091093, -2.2317405904084673), [[1.61503, 1.00604], [1.51432, 1.00532], [1.61506, 1.01054], [1.53721, 1.00588], [1.58619, 1.00606]])"
"((26.897713272738883, 29.119732019496002, -2.2220187467571186), [[1.61503, 1.00604], [1.51432, 1.00532], [1.61506, 1.01054], [1.53721, 1.00588], [1.58618, 1.00607]])"
"((30.099128005338017, 33.43223695859738, -3.3331089532593623), [[1.61503, 1.00604], [1.51432, 1.00532], [1.61506, 1.01054], [1.60414, 1.00668], [1.61727, 1.00636]])"
"((31.424669657161665, 35.02602261704073, -3.6013529598790655), [[1.61503, 1.00604], [1.51432, 1.00532], [1.61506, 1.01054], [1.60714, 1.00656], [1.61727, 1.00636]])"
"((25.178222154444644, 26.687046607204, -1.508824452759356), [[1.61503, 1.00604], [1.49552, 1.00497], [1.61503, 1.01056], [1.45446, 1.00345], [1.52646, 1.0045]])"
"((27.807682273402555, 30.309873404488343, -2.5021911310857874), [[1.61503, 1.00604], [1.49552, 1.00497], [1.61503, 1.01056], [1.54457, 1.00776], [1.56949, 1.00633]])"
"((29.419884526501882, 32.56353153884425, -3.1436470123423703), [[1.61503, 1.00604], [1.49552, 1.00497], [1.59875, 1.00992], [1.61503, 1.01056], [1.58299, 1.00622]])"
"((29.430719722091727, 32.562630059103775, -3.131910337012048), [[1.61503, 1.00604], [1.49552, 1.00497], [1.59875, 1.00992], [1.61506, 1.01054], [1.58299, 1.00622]])"
"((25.195602495549732, 26.685679714539557, -1.4900772189898248), [[1.61503, 1.00604], [1.49552, 1.00497], [1.61506, 1.01054], [1.45446, 1.00345], [1.52646, 1.0045]])"
"((27.831297768991817, 30.307889444283834, -2.476591675292017), [[1.61503, 1.00604], [1.49552, 1.00497], [1.61506, 1.01054], [1.54457, 1.00776], [1.56949, 1.00633]])"
"((32.18690280852676, 35.982140001091615, -3.795237192564855), [[1.61503, 1.00604], [1.51392, 1.00532], [1.61503, 1.01056], [1.60954, 1.00649], [1.61727, 1.00636]])"
"((31.063682163348236, 34.599181505857956, -3.53549934250972), [[1.61503, 1.00604], [1.51392, 1.00532], [1.61503, 1.01056], [1.60714, 1.00656], [1.61727, 1.00636]])"
"((27.994115686109254, 30.508935874758272, -2.5148201886490185), [[1.61503, 1.00604], [1.51392, 1.00532], [1.59875, 1.00992], [1.57723, 1.00902], [1.58399, 1.00622]])"
"((28.618554914624593, 31.272393245922355, -2.653838331297763), [[1.61503, 1.00604], [1.51392, 1.00532], [1.59875, 1.00992], [1.57723, 1.00902], [1.58299, 1.00622]])"
"((32.2227739328569, 35.97895975692378, -3.7561858240668755), [[1.61503, 1.00604], [1.51392, 1.00532], [1.61506, 1.01054], [1.60954, 1.00649], [1.61727, 1.00636]])"
"((31.09698986784664, 34.596249636892956, -3.499259769046315), [[1.61503, 1.00604], [1.51392, 1.00532], [1.61506, 1.01054], [1.60714, 1.00656], [1.61727, 1.00636]])"
"((28.835495852055836, 31.40222796559811, -2.566732113542276), [[1.61503, 1.00604], [1.50854, 1.00561], [1.61503, 1.01056], [1.54965, 1.00561], [1.58399, 1.00622]])"
"((25.491613494669487, 27.270555859633728, -1.7789423649642409), [[1.61503, 1.00604], [1.50854, 1.00561], [1.61503, 1.01056], [1.49552, 1.00497], [1.56101, 1.00594]])"
