"((12.90307447358505, 12.910671880001605, -0.007597406416554264), [[1.61503, 1.00604], [1.54965, 1.00561], [1.61503, 1.01056], [1.49552, 1.00497], [1.60008, 1.00622]])"
"((12.90307447358505, 12.910671880001605, -0.007597406416554264), [[1.61503, 1.00604], [1.54965, 1.00561], [1.61503, 1.01056], [1.49552, 1.00497], [1.60008, 1.00622]])"
"((12.90307447358505, 12.910671880001605, -0.007597406416554264), [[1.61503, 1.00604], [1.54965, 1.00561], [1.61503, 1.01056], [1.49552, 1.00497], [1.60008, 1.00622]])"
"((12.907853285853161, 12.910334754681061, -0.002481468827900457), [[1.61503, 1.00604], [1.54965, 1.00561], [1.61506, 1.01054], [1.49552, 1.00497], [1.60008, 1.00622]])"
"((12.907853285853161, 12.910334754681061, -0.002481468827900457), [[1.61503, 1.00604], [1.54965, 1.00561], [1.61506, 1.01054], [1.49552, 1.00497], [1.60008, 1.00622]])"
"((12.907853285853161, 12.910334754681061, -0.002481468827900457), [[1.61503, 1.00604], [1.54965, 1.00561], [1.61506, 1.01054], [1.49552, 1.00497], [1.60008, 1.00622]])"
"((12.90307447358505, 12.910671880001605, -0.007597406416554264), [[1.61503, 1.00604], [1.54965, 1.00561], [1.61503, 1.01056], [1.49552, 1.00497], [1.60008, 1.00622]])"
"((12.90307447358505, 12.910671880001605, -0.007597406416554264), [[1.61503, 1.00604], [1.54965, 1.00561], [1.61503, 1.01056], [1.49552, 1.00497], [1.60008, 1.00622]])"
"((12.90307447358505, 12.910671880001605, -0.007597406416554264), [[1.61503, 1.00604], [1.54965, 1.00561], [1.61503, 1.01056], [1.49552, 1.00497], [1.60008, 1.00622]])"
"((12.907853285853161, 12.910334754681061, -0.002481468827900457), [[1.61503, 1.00604], [1.54965, 1.00561], [1.61506, 1.01054], [1.49552, 1.00497], [1.60008, 1.00622]])"
"((12.907853285853161, 12.910334754681061, -0.002481468827900457), [[1.61503, 1.00604], [1.54965, 1.00561], [1.61506, 1.01054], [1.49552, 1.00497], [1.60008, 1.00622]])"
"((12.907853285853161, 12.910334754681061, -0.002481468827900457), [[1.61503, 1.00604], [1.54965, 1.00561], [1.61506, 1.01054], [1.49552, 1.00497], [1.60008, 1.00622]])"
"((12.949197421074096, 12.956278877362974, -0.00708145628887813), [[1.60414, 1.00668], [1.5204, 1.00668], [1.61503, 1.01056], [1.51982, 1.00578], [1.60954, 1.00649]])"
"((12.949197421074096, 12.956278877362974, -0.00708145628887813), [[1.60414, 1.00668], [1.5204, 1.00668], [1.61503, 1.01056], [1.51982, 1.00578], [1.60954, 1.00649]])"
"((12.9541490082061, 12.95592886164052, -0.001779853434420886), [[1.60414, 1.00668], [1.5204, 1.00668], [1.61506, 1.01054], [1.51982, 1.00578], [1.60954, 1.00649]])"
"((12.9541490082061, 12.95592886164052, -0.001779853434420886), [[1.60414, 1.00668], [1.5204, 1.00668], [1.61506, 1.01054], [1.51982, 1.00578], [1.60954, 1.00649]])"
"((12.949197421074096, 12.956278877362974, -0.00708145628887813), [[1.60414, 1.00668], [1.5204, 1.00668], [1.61503, 1.01056], [1.51982, 1.00578], [1.60954, 1.00649]])"
"((12.949197421074096, 12.956278877362974, -0.00708145628887813), [[1.60414, 1.00668], [1.5204, 1.00668], [1.61503, 1.01056], [1.51982, 1.00578], [1.60954, 1.00649]])"
"((12.9541490082061, 12.95592886164052, -0.001779853434420886), [[1.60414, 1.00668], [1.5204, 1.00668], [1.61506, 1.01054], [1.51982, 1.00578], [1.60954, 1.00649]])"
"((12.9541490082061, 12.95592886164052, -0.001779853434420886), [[1.60414, 1.00668], [1.5204, 1.00668], [1.61506, 1.01054], [1.51982, 1.00578], [1.60954, 1.00649]])"
"((12.949197421074096, 12.956278877362974, -0.00708145628887813), [[1.60414, 1.00668], [1.5204, 1.00668], [1.61503, 1.01056], [1.51982, 1.00578], [1.60954, 1.00649]])"
"((12.949197421074096, 12.956278877362974, -0.00708145628887813), [[1.60414, 1.00668], [1.5204, 1.00668], [1.61503, 1.01056], [1.51982, 1.00578], [1.60954, 1.00649]])"
"((12.9541490082061, 12.95592886164052, -0.001779853434420886), [[1.60414, 1.00668], [1.5204, 1.00668], [1.61506, 1.01054], [1.51982, 1.00578], [1.60954, 1.00649]])"
"((12.9541490082061, 12.95592886164052, -0.001779853434420886), [[1.60414, 1.00668], [1.5204, 1.00668], [1.61506, 1.01054], [1.51982, 1.00578], [1.60954, 1.00649]])"
